Region/Country/Area,Year,Series,Value,Footnotes,Source
South-eastern Asia,2005,Students enrolled in primary education (thousands),"68,253",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Primary (male),106.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Primary (female),103.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Students enrolled in secondary education (thousands),"40,815",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Secondary (male),62.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Secondary (female),62.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Students enrolled in upper secondary education (thousands),"12,468",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (male),43.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2005,Gross enrollment ratio - Upper secondary level (female),43.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Students enrolled in primary education (thousands),"68,327",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Primary (male),106.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Primary (female),107.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Students enrolled in secondary education (thousands),"45,538",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Secondary (male),70.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Secondary (female),71.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Students enrolled in upper secondary education (thousands),"15,539",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (male),55.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2010,Gross enrollment ratio - Upper secondary level (female),54.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Students enrolled in primary education (thousands),"68,713",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Primary (male),108.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Primary (female),106.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Students enrolled in secondary education (thousands),"51,401",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Secondary (male),80.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Secondary (female),80.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Students enrolled in upper secondary education (thousands),"18,604",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (male),67.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2015,Gross enrollment ratio - Upper secondary level (female),65.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Students enrolled in primary education (thousands),"68,243",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Primary (male),107.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Primary (female),105,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Students enrolled in secondary education (thousands),"55,574",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Secondary (male),81.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Secondary (female),83.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Students enrolled in upper secondary education (thousands),"19,878",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Upper secondary level (male),65.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
South-eastern Asia,2019,Gross enrollment ratio - Upper secondary level (female),67.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Students enrolled in primary education (thousands),"181,481",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Primary (male),104.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Primary (female),100.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Students enrolled in secondary education (thousands),"120,738",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Secondary (male),54.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Secondary (female),47,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Students enrolled in upper secondary education (thousands),"50,578",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Upper secondary level (male),41.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2005,Gross enrollment ratio - Upper secondary level (female),33.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
Southern Asia,2010,Students enrolled in primary education (thousands),"191,840",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2021."
