Region,Total Population,Labor Force Participation Rate,Employment Rate,Unemployment Rate ,Under-employment Rate,
National Capital Region (NCR),9943.884,54.2,87.7,12.3,10.2,
Cordillera Administrative Region (CAR),1229.826,56.0,74.7,25.3,23.1,
Region I (Ilocos Region),3553.553,60.8,77.7,22.3,20.7,
Region II (Cagayan Valley),2443.113,59.6,84.4,15.6,17.5,
Region III (Central Luzon),8590.476,51.9,72.7,27.3,12.4,
Region IV-A (CALABARZON),11041.613,58.3,83.3,16.7,23.7,
MIMAROPA Region,2049.096,53.4,87.5,12.5,22.0,
Region V (Bicol Region),3968.438,55.2,84.3,15.7,27.4,
Region VI (Western Visayas),5429.806,56.1,86.3,13.7,10.9,
Region VII (Central Visayas),5419.897,57.3,83.3,16.7,17.7,
Region VIII (Eastern Visayas),3126.912,56.2,85.7,14.3,21.8,
Region IX (Zamboanga Peninsula),2512.435,52.0,76.1,23.9,23.5,
Region X (Northern Mindanao),3371.589,62.8,88.9,11.1,29.4,
Region XI (Davao Region),3554.885,55.3,82.1,17.9,20.9,
Region XII (SOCCSKSARGEN),3233.1,57.4,78.8,21.2,20.8,
Region XIII (Caraga),1806.006,57.0,87.7,12.3,32.2,
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2447.652,41.1,70.2,29.8,7.8,
